_id;author_details;title;isbn;description;genre
162;Muramoto, Naboru|Ledvinka, F.;Il Medico Di Se Stesso: Manuale Pratico Di Medicina Orientale;9788807815584;Un manuale che intende aiutare a conoscere e capire il nostro corpo, i suoi organi e le loro funzioni. Fedele al principio che l'uomo è nato libero e pertanto dev'essere capace di guarirsi da solo, Muramoto spiega come affrontare l'autodiagnosi e l'autotrattamento. I sintomi della malattia, dice ,non vanno combattuti sopprimendoli o nascondendoli, vanno invece interpretati e compresi allo scopo di controllare e migliorare le reazioni di difesa del corpo.;Medical / Alternative & Complementary Medicine
163;Prévert, Jacques|Cucchi, Maurizio;Le Foglie Morte;9788877466518;Testo originale a fronte.<br><br>Una raccolta che presenta il miglior Prévert, il più intenso e il più suggestivo, nella traduzione di uno dei migliori, nuovi poeti italiani. Vi si ritrovano poesie celebri come La luna e la notte, Les enfants de bohème, Bella, La notte bianca e soprattutto Le foglie morte (quella della celebre canzone musicata da Kosma), che sono l'emblema e il titolo dell'intera raccolta. E vi si trovano tutti i toni della poesia prévertiana: la malinconia e l'affettuosità, l'ironia e il disincanto.;Poetry / General
164;Hikmet, Nazim;Il Nuvolo Innamorato E Altre Fiabe;9788804524892;;Fiction / Fairy Tales, Folk Tales, Legends & Mythology
165;De Lorenzis, Tommaso|Guizzardi, Valerio|Mita, Massimiliano|Funaro, Chicco|Pozzi, Paolo|Valerio Guizzardi, Massimiliano Mita Tommaso De Lorenzis;Avete Pagato Caro, Non Avete Pagato Tutto: La Rivista Rosso;9788889969403;"Nel corso degli anni Settanta, «Rosso» è stata la più sperimentale, innovativa e insieme autorevole rivista dell’Autonomia operaia. La sua fortuna editoriale e forza di condizionamento presso considerevoli aree di militanti risiedeva in una sofisticata alchimia comunicativa. Un mix linguistico che sapeva fondere narrazioni in presa diretta delle lotte con saggi di grande rigore analitico; storie a fumetti con titolazioni fulminanti; riferimenti cinematografici con satire impietose.<br>Fu «Rosso» a promuovere la scoperta del nuovo continente politico, umano, sociale, produttivo che si estendeva oltre i confini del Movimento operaio ufficiale e delle sue organizzazioni storiche: la società postmoderna, la produzione postfordista, l’intellettualità di massa, il lavoro cognitivo. Fu «Rosso» ad annunciare la genesi di un nuovo soggetto produttivo, quell’ «operaio sociale» protagonista dello scontro del 1977 che generò prima scandalo e reprimende, poi repressione e scontro violento.";Social Science / Media Studies
166;Vernant, Jean-Pierre;La Morte Negli Occhi;9788815014726;"A partire dalle opere di Omero, Esiodo, Erodoto, Callimaco, Jean-Pierre Vernant analizza, nella cultura greca, la costante di una opposizione tra Altro e Identico, civiltà e selvatichezza, ideale apollineo e frenesia dionisiaca. Emblemi di questa eterna oscillazione sono tre divinità variamente collegate ai riti di passaggio e riconducibili ad una medesima sfera del soprannaturale: Dioniso, Artemide, Medusa, dèi con la maschera. Ma l'esperienza dell'Altro è evocata a diversi livelli. Dioniso, dio del teatro, fa irrompere nel quotidiano l'ebbrezza perturbante e il delirio estatico in forme liberatorie e socialmente accettate; Artemide, dea della caccia e delle zone liminari (tra umano e ferino, tra adolescenza ed età adulta) assolve anche una funzione di mediatrice nella sua veste di dea dell'ospitalità. È solo nei tratti deformati della maschera insieme orrida e grottesca di Medusa che l'immaginario greco proietta l'alterità assoluta ed elabora la propria idea della morte. Figura del disordine cosmico, dell'irriducibile e dell'indicibile, lo sguardo pietrificante di Medusa delimita la soglia oltre la quale si stendono le tenebre della Notte.";Religion / Ancient
167;Palazzeschi, Aldo;Il Codice Di Perelà;9788804423713;;Fiction / Classics
168;Hobsbawm, Eric J.;Nazioni E Nazionalismi Dal 1780. Programma, Mito, Realtà;9788806131982;;Political Science / Political Ideologies / Nationalism & Patriotism
169;More, Thomas|Cuomo, Franco|Moro, Tommaso|More, Saint Thomas;Utopia;9788879834223;First published in 1516, Thomas More's <strong>Utopia</strong> is one of the most important works of European humanism. Through the voice of the mysterious traveler Raphael Hythloday, More describes a pagan, communist city-state governed by reason. Addressing such issues as religious pluralism, women's rights, state-sponsored education, colonialism, and justified warfare, <strong>Utopia</strong> seems remarkably contemporary nearly five centuries after it was written, and it remains a foundational text in philosophy and political theory.;Philosophy / Political
170;Campanella, Tommaso;La Citta? Del Sole: Contro La Tirannide, I Sofismi, L'ipocrisia;9788871223384;"<em>La città del sole</em>, pubblicata in appendice alla ""Politica"" di Campanella, è una breve ma straordinaria opera, un dialogo poetico in cui si delinea il modello ideale di repubblica immaginata dal filosofo, modello che secondo alcuni studiosi è superiore a quello proposto nell'antichità da Platone e nel Rinascimento da Tommaso Moro. Gli abitanti della Città del Sole vivono secondo la pura legge di natura e l'armonia che c'è tra le varie parti della città deve essere la stessa che c'è tra le varie parti del corpo. In appendice viene pubblicata per la prima volta la ""Questione quarta sull'ottima repubblica"" in cui il filosofo contesta le obiezioni rivoltegli contro la comunione dei beni e delle donne nella sua città ideale.";Politica 
171;Baracca, Angelo|Ruffino, Giorgio Ferrari|Burgio, Ernesto|Schneider, Mycle;Scram Ovvero La Fine Del Nucleare;9788816411005;"Diversamente da quanto si vuol far credere, il nucleare non è una tecnologia avanzata, ma una tecnologia complicata, vecchia, costosa e pericolosa, che in mezzo secolo ha creato - oltre all'incubo tutt'altro che scomparso dell'olocausto nucleare - problemi gravissimi, che peseranno per centinaia o migliaia di anni, senza avere apportato alcun beneficio sostanziale o insostituibile. Questa tesi viene sviluppata nel libro in termini analitici e rigorosi, analizzando in modo sistematico l'intero ciclo nucleare per tutti gli aspetti rilevanti: emissioni di C02, indipendenza dalle fonti fossili, costi disaggregati, emissioni di radioattività nel normale funzionamento, residui radioattivi ingestibili, rischi e portata di possibili incidenti, pericoli di proliferazione militare. Un capitolo di Ernesto Burgio analizza i danni biologici e sanitari delle radiazioni ionizzanti in base ai risultati più recenti della ricerca biologica, che dimostrano la profonda inadeguatezza dell'approccio e della normativa ufficiali, nonché delle sue conclusioni tranquillizzanti per le piccole dosi di radiazioni. Tanto più utile risulta il confronto con l'""immagine speculare"" della Francia, la cui fama di paradiso del nucleare viene smontata e analizzata nelle sue profonde contraddizioni da uno specialista di notorietà internazionale, Mycle Schneider. L'ultima parte del libro è dedicata a dimostrare l'inconsistenza e la impraticabilità delle soluzioni miracolistiche prospettate dall'industria nucleare.";Science / Environmental Science
172;Bas, Juan;Trattato Sui Postumi Della Sbornia. le Ore Dell'inutile Pentimento;9788865830048;"Le vie dell'Inferno sono lastricate di buone intenzioni... e di vuoti di bottiglia. Dai Baccanali dei Romani al Martini Dry di Churchill, da ""Gli ubriachi"" di Velazquez ai quadri di Hopper, dai ""collassi"" di Henry Chinaski (l'alter ego di Bukowski) alla memorabile sbornia del capitano Willard di ""Apocalypse Now: Juan Bas ripercorre tutta la deriva post-alcolica nella Storia, nella letteratura, nel cinema e nei fumetti. Gli astemi, extraterrestri venuti da qualche sconosciuta galassia, non potranno mai vivere un solo giorno di postumi. I bevitori di tutto il mondo invece sono soggetti a soffrirne ben trentuno tipi diversi. Cefalea, secchezza delle fauci, sudori freddi, vampe, tachicardia, nausea, vomito, depressione, sentimentalismo: dopo una bella scuffia, pur di stare meglio, siamo disposti a qualsiasi compromesso e spergiuriamo che mai più toccheremo un solo goccio d'alcool. Ma non finisce qui: in questo coltissimo e devastante Trattato è racchiusa la risposta al perché, dopo aver appena superato i nefasti e appiccicosi gorghi del doposbornia, cadiamo di nuovo in tentazione.";Social Science / Popular Culture
173;Heinlein, Robert A.|Pinna, Antonangelo|Brinis, Hilia|Heinlein, Robert Anson;Universo. Fanteria Dello Spazio. La Luna È Una Severa Maestra;9788804254515;"Se tra i ""massimi"" di questa collana se ne dovessero scegliere non più di cinque o sei, se si dovesse eleggere una specie di Consiglio Superiore della FS, Robert A. Heinlein ne farebbe parte senz'altro. Heinlein fu tra i primi a mostrare come la totale libertà d'invenzione della fs potesse associarsi a precise, realistiche strutture narrative; e in questo senso fu una data memorabile quella segnata nel 1941 dal suo UNIVERSO, la storia, rigorosa e inaudita, dell'immensa astronave in viaggio da secoli che per i suoi viaggiatori-abitatori era il Cosmo. Ma un altro merito specifico di Heinlein, e non meno segnalato, fu di trasformare gli eroi puerili e incredibili della prima fantascienza in uomini - non superuomini - d'azione. Il lettore saprà apprezzare a questo proposito la differenza fra tante ""fantaguerre"" non solo di ieri, ma di oggi, e la scabra veristica epopea di FANTERIA DELLO SPAZIO o la magistrale saga di LA LUNA E' UNA SEVERA MAESTRA.<br><br>""Universo"" (<em>Orphans of the Sky</em>, 1965), traduzione di Antonangelo Pinna.<br><br>""Fanteria dello spazio"" (<em>Starship Troopers</em>, 1959), traduzione di Hilia Brinis.<br><br>""La Luna è una severa maestra"", parte I e II (<em>The Moon is a Harsh Mistress</em>, 1966), traduzione di Antonangelo Pinna.<br><br>Copertina di Karel Thole.";Literary Collections / General
174;AA.VV, ;Titani E Giganti, Zeus E L'olimpo, Eracle E Gli Eroi... Miti Greci;9788871228761;;Religion / Ancient
175;Pennac, Daniel|Mélaouah, Yasmina;Ecco La Storia;9788807016356;"<em>Ecco la storia</em> è l'unione di più storie, alcune inventate, alcune vere, che nel loro intrecciarsi cercano di dar conto del processo creativo. Così, la scelta di un dittatore fittizio di assumere un sosia s'interseca con i diversi ruoli che lo scrittore assume mentre crea una storia. E un personaggio inventato può lentamente fluire verso una persona reale (e viceversa), che regalerà dei tratti al personaggio; e il personaggio, a sua volta, si modificherà ancora in questo continuo, inevitabile incrocio tra realtà e fantasia. Dal tema del sosia a quello del cinema, il libro è una riflessione sui ""ruoli"", sulla vita come gioco di maschere e come vano inseguimento di un'identità.";Fiction / General
176;Lewis, Roy|Pratchett, Terry|Brera, Carlo|Lewis, R;Il Più Grande Uomo Scimmia Del Pleistocene;9788845915918;«Il libro che avete fra le mani è uno dei più divertenti degli ultimi cinquecentomila anni» ha scritto Terry Pratchett. È vero, tanto tempo è passato, da quando vissero Ernest, il narratore di questo libro, con la sua ingegnosa famiglia, dal padre Edward, che fu senza dubbio «il più grande uomo scimmia del Pleistocene», a quell’amabile reazionario di zio Vania, che tornava sempre a vivere sugli alberi, a quel viaggiatore incallito dello zio Ian, per non parlare delle ragazze. Un curioso gruppetto, che si trovò, sotto la guida del grande Edward, nella delicata situazione di chi dà all’evoluzione una spinta che non si riequilibrerà mai: la spinta da cui siamo nati tutti noi. Ragionando con impeccabile acume scientifico, nonché un delizioso humour freddo, Edward e i suoi scoprirono «alcune delle cose più potenti e spaventose su cui la razza umana abbia mai messo le mani: il fuoco, la lancia, il matrimonio e così via», sempre sulla base di una elementare esigenza: quella di «cucinare senza essere cucinati e mangiare senza essere mangiati». E naturalmente non mancarono le dispute e i crucci, perché ogni volta si poteva discutere se quelle nuove invenzioni erano davvero buone o cattive, se non rischiavano di sfuggire al controllo e soprattutto se non andavano un po’ troppo contro la natura. Mah...<br>Pubblicato per la prima volta nel 1960, e poi ripreso più volte sotto vari titoli, questo libro si è fatto strada silenziosamente fra i classici della fantascienza a ritroso. Ma in realtà è un libro inclassificabile: una riflessione romanzesca, acutissima e leggera, su tutta la storia dell’umanità, contrassegnata in ogni dettaglio da quella limpidezza e da quell’ironia che appartengono alla migliore tradizione letteraria e scientifica inglese. Quando Théodore Monod lesse questo libro, segnalò all’autore uno o due errori tecnici, subito aggiungendo «che non importavano un accidente, perché la lettura del libro l’aveva fatto ridere tanto che era caduto da un cammello nel bel mezzo del Sahara».;Fiction / General
177;Grimi, E.;99 Invenzioni Da Riscoprire Per Chi Ha Fretta;9788860523808;"Chi di noi potrebbe fare a meno della lampadina? Nessuno, probabilmente. Ma qualcuno sa chi l'ha inventata? Ancora: nessuno, probabilmente. E che dire della bicicletta, della chiusura lampo, dell'aspirina, di Google o dell'aereo? Quali menti geniali dobbiamo ringraziare per queste cose, grandi o piccole, che fanno parte della vita di tutti i giorni? E chi ha inventato il codice a barre, il velcro, i post-it, il gelato, la carta igienica? Soddisferete queste e tante altre curiosità semplicemente sfogliando questo libro facile e divertente che in sole 3 vignette raccoglie 99 invenzioni, con i fatti, le date, le cifre e i nomi che le riguardano. Il metodo è collaudato: basta avere un po' di fretta, tanta curiosità e voglia di sorridere. Da leggere da soli o in compagnia. Per giocare a ""Lo sapevate che...?"". Per farvi una cultura in un lampo.";Technology & Engineering / Inventions
178;Giudici, Lorenzo|Cacciari, Silvano|Cacciari, L. Giudici S.;Stadio Italia: I Conflitti Del Calcio Moderno;9788895065427;Book by S. Cacciari, L. Giudici;Sports & Recreation / Soccer
179;Solzhenitsyn, Aleksandr|Rapetti, Sergio|Solženicyn, Aleksandr Isaevi?;Lenin a Zurigo;9788804395829;;Fiction / General
180;Buzzati, Dino|Toscani, Claudio;Poema a Fumetti;9788804472513;"Riproponendo l'antico mito di Orfeo ed Euridice scrive Claudio Toscani nella sua introduzione a questo volume ""Buzzati evoca un immaginoso inferno contemporaneo. Orfi è un moderno cantautore ed Eura la sua innamorata, una ragazza che la morte si porta via nel fiore degli anni. Orfi la vede scomparire una sera nella porticina di una villa misteriosa che sorge poroprio di fronte a casa sua. Sembra un ombra, non una giovane ed espansiva teenager e, infatti, non è lei viva, ma la sua anima. E la porticina è lo sbocco in superfice dell'inferno, un moderno Ade che ha il suo terminale terrestre in via Saterna, la via di Orfi, una immaginaria via del centro di una per altro realissima Milano... Poema a fumetti, dunque, si presenta come un rapido inventario di 'bassezze' e di 'nobiltà', quelle che albergano nel cuore di tutti, dal fantastico al reale, al triviale; e, per contro, dall'erotico e dal sadico, all'etico"".";Fiction / General
181;De Micheli, Mario;Le Avanguardie Artistiche Del Novecento;9788807810299;"Espressionismo, cubismo, futurismo, realismo, astrattismo, dadaismo, surrealismo; tutte le correnti artistiche sorte in Europa all'inizio del secolo come rottura con l'arte del passato, costituiscono il tema di questo libro la cui fortuna è testimoniata anche dalle numerose traduzioni che ne sono state fatte in Europa e nelle Americhe. <br>Con un saggio efficace, che unisce al rigore degli argomenti la ricchezza dell'informazione, Mario De Micheli rievoca gli ""anni eroici"" delle avanguardie, svolge un'indagine sulle cause che hanno provocato il fenomeno dell'arte moderna nella determinazione specifica dei suoi caratteri e delle sue tendenze. Il libro, rifuggendo sia da una semplice cronaca dei movimenti, sia da un astratta descrizione delle dottrine, esamina le idee, le teorie, le poetiche nel loro concreto divenire e soprattutto nel fuoco dell'esercizio creativo dei maggiori protagonisti dell'arte moderna. Ne risulta un saggio organico, serrato, in cui i motivi dominanti nel cono dell'arte d'oggi si dispongono in modo criticamente evidente, offrendo al lettore la chiave di un'interpretazione non esteriore, né metafisica, dell'arte moderna. Ai pregi del saggio si aggiunge inoltre la parte documentaria, in cui sono raccolti i testi programmatici dei vari movimenti, i manifesti, tradotti integralmente, e molti per la prima volta.";Art / History / Modern (late 19th Century to 1945)
182;Berdini, Paolo;Breve Storia Dell'abuso Edilizio in Italia Dal Ventennio Fascista Al Prossimo Futuro;9788860364739;"Nel 1985, pochi mesi prima dell'approvazione della famosa legge Galasso sulla tutela del paesaggio italiano, il Parlamento approva la prima legge di condono edilizio proposta da uno degli ultimi governi di centrosinistra. Si disse che sarebbe stato il primo e l'ultimo. Dopo nove anni, nel 1994, il primo governo Berlusconi porta in approvazione il secondo condono edilizio. Anche allora si disse che sarebbe stato l'ultimo. Nel 2003 un altro condono proposto dalla stessa maggioranza. Finora sono tre le leggi di condono edilizio approvate dal Parlamento, e per quanto possa sembrare strano non è stato fornito all'opinione pubblica nessun rendiconto su quante domande siano state presentate, quanti edifici siano stati condonati, quanti ettari di terreno agricolo siano stati divorati dalle costruzioni, quale sia il bilancio economico delle tre leggi. Dal primitivo abusivismo di ""necessità"", quello cioè di un paese povero che faticava a diventare moderno, siamo infatti passati all'iniziativa dello Stato stesso per cancellare ogni regola. Nel 2009 il governo Berlusconi annuncia il ""piano casa"" con cui si possono aumentare i volumi degli edifici a prescindere da qualsiasi regola urbanistica. Nello stesso periodo, per la preparazione dei mondiali di nuoto e del G8 alla Maddalena, si sperimenta il modello di deroga persino rispetto alle regole paesaggistiche e di tutela dei corsi d'acqua. Fenomeni di questo tipo sono impensabili e sconosciuti in tutti gli altri paesi europei.";Social Science / Criminology
183;V?tsy?yana, Mallanaga|Paoli, Sergio;Kamasutra;9788879830836;Mallanaga V?tsy?yana is the name of an Indian philosopher in the Vedic tradition who lived some time in the Gupta period (4th to 6th centuries CE). His name appears as the author of the Kama Sutra and of Ny?ya Sutra Bh?shya, the first commentary on Gotama's Ny?ya Sutras. It is, however, unlikely that the same Vatsyayana authored both texts.<br> Vatsyayana was a son of a Brahmin scholar. Some speculate that his childhood was spent largely in the brothel, where his favorite aunt worked. There, Vatsyayana is said to have gained his first, indelible impressions of sexual artifice and the arousal of desire;Social Science / Anthropology / Cultural
184;Corvisieri, Silverio;Il Re, Togliatti E Il Gobbo: 1944, La Prima Trama Eversiva;9788886973052;;Guerra, Resistenza e Storia Del PCI
185;Tolkien, J.R.R.|Conte, Elena Jeronimidis|Tolkien, J. R. R.;Lo Hobbit O La Riconquista Del Tesoro;9788845906886;<em>Lo hobbit</em>, che W.H. Auden ha definito «la più bella storia per bambini degli ultimi cinquant’anni», è il libro con cui Tolkien ha presentato per la prima volta, nel 1937, il foltissimo mondo mitologico del Signore degli Anelli, che ormai milioni di persone di ogni età, sparse ovunque, conoscono in tutti i suoi minuti particolari – caso quanto mai raro di favola moderna che sia diventata un vero linguaggio comune per i suoi lettori. Tra i protagonisti di tale mondo sono gli Hobbit, minuscoli esseri «dolci come il miele e resistenti come le radici di alberi secolari», che formano un popolo «discreto e modesto, ma di antica origine... amante della calma e della terra ben coltivata», timidi, capaci di «sparire veloci e silenziosi al sopraggiungere di persone indesiderate», con un’arte che sembra magica ma è «unicamente dovuta a un’abilità professionale che l’eredità, la pratica e un’amicizia molto intima con la terra hanno reso inimitabile da parte di razze più grandi e goffe» – quali gli uomini. Se non praticano la magia, gli Hobbit finiscono però sempre in mezzo a feroci vicende magiche, come capita appunto a Bilbo Baggins, eroe quasi a dispetto di questa storia, che il grande ‘mago bianco’ Gandalf coinvolgerà in un’impresa apparentemente disperata: la riconquista del tesoro custodito dal drago Smog. Bilbo incontrerà così ogni sorta di avventure, assieme ai tredici nani suoi compagni e all’imprevedibile Gandalf, che appare e scompare, lasciando cadere come per caso le parole degli insegnamenti decisivi. Violentemente sbalzato dalla idilliaca Hobbitopoli oltre il Confine delle Terre Selvagge, fra gole, foreste incantate e minacciose montagne, dove non ci sono «vie sicure», il pacifico Bilbo si scoprirà capace di affrontare prodigi e orrori: il mostruoso Gollum, i ragni giganti, i perfidi orchi, il grande drago Smog, e infine la tremenda Battaglia dei Cinque Eserciti, scontro fra le forze benigne e maligne, eternamente opposte, per il bramato e fatale possesso del tesoro. Ma per Bilbo l’avvenimento più importante – e della cui importanza egli non si rende ben conto – è il ritrovamento, apparentemente casuale, di un anello magico che era finito in possesso di Gollum. In questo fatto è il germe della grande saga che Tolkien proseguirà nei tre libri del Signore degli Anelli, dove sarà riproposto e illuminato nel suo durissimo senso un tema segreto dello Hobbit, un tema inesauribile per qualsiasi lettore: che cosa fare dell’Anello del Potere?;
186;de Turris, Gianfranco|Gallo, Claudio;Le Aeronavi Dei Savoia. Protofantascienza Italiana 1891-1952;9788842911784;"Un uomo si trasforma a mano a mano in un vegetale a causa di una misteriosa pianta brasiliana. Il petrolio in fiamme di Marghera, bombardata durante una prossima guerra, invade i canali di Venezia e distrugge la città. Una parte della Luna cade sulla Terra arrestandone la rotazione: in tal modo un emisfero sarà sempre alla luce e uno al buio. Con una aerosfera antigravità tre uomini e una donna giungono su Venere la cui evoluzione è ferma all'era mesozoica e su cui vivono i ""veneriani"" con la coda. Una famiglia, non avendo votato nelle elezioni del 1948, contribuisce alla vittoria del Fronte Popolare. Questi sono solo alcuni dei temi delle opere contenute in questa antologia: una serie di romanzi e racconti pubblicati in Italia fra il 1891 e il 1952.";Literary Collections / General
187;Cirillo, Francesco|Pacchiano, Luigi;Marlane: La Fabbrica Dei Veleni. Storia E Storie Avvelenate;9788896741030;;Fiction / General
188;Balestrini, Nanni;Vogliamo Tutto;9788888738390;Resoconto delle battaglie sociali del proletariato metropolitano, controcantoincalzante al diffondersi dell'autonomia degli operai, questo romanzo è lastoria di un operaio arrivato dal Sud nella Fiat in ebollizione. La storiadella scoperta della metropoli, dell'oppressione capitalistica, della comunitàproletaria, della rivolta che serpeggia ed esplode. Balestrini fa parlare ilprotagonista per rimixare il parlato con un ritmo che si piega all'intenzionedi una poetica variegata, policroma e polifonica. Un lavoro di smontaggio erimontaggio che segue le linee di una metodologia combinatoria e si esercitaintegralmente sulla materia linguistica, prelevando materiale verbalepreesistente alla scrittura per predisporne il ritmo e la potenza emotiva.;Fiction / General
189;Calvino, Italo;Fiabe Italiane;9788804398691;"""Io credo questo: le fiabe sono vere, sono, prese tutte insieme, nella loro sempre ripetuta e sempre varia casistica di vicende umane, una spiegazione generale della vita, nata in tempi remoti e serbata nel lento ruminio delle coscienze contadine fino a noi; sono il catalogo dei destini che possono darsi a un uomo e a una donna"" (Italo Calvino). Un viaggio attraverso l'Italia delle regioni in duecento favole tratte dalla tradizione orale.";
190;McLuhan, Marshall;Capire I Media : Gli Strumenti Del Comunicare;9788856502800;"When Marshall McLuhan first coined the phrases ""global village"" and ""the medium is the message"" in 1964, no-one could have predicted today's information-dependent planet. No-one, that is, except for a handful of science fiction writers and Marshall McLuhan. Understanding Media was written twenty years before the PC revolution and thirty years before the rise of the Internet. Yet McLuhan's insights into our engagement with a variety of media led to a complete rethinking of our entire society. He believed that the message of electronic media foretold the end of humanity as it was known. In 1964, this looked like the paranoid babblings of a madman. In our twenty-first century digital world, the madman looks quite sane. Understanding Media: the most important book ever written on communication.";Social Science / Media Studies
191;Castoro, Piero;La Murgia Nella Guerra Fredda. Dai Missili Atomici Agli Itinerari Della Pace;9788895911199;;History / General
192;Travirka, Antun;Dalmatie Histoire - Culture - Patrimoine Artistique;9789531797115;;
193;Moretti, Luca|Bruno, Toni|Moretti, Toni Bruno Luca;Non Mi Uccise La Morte;9788876154089;La notte del 15 ottobre del 2009, il giovane geometra Stefano Cucchi viene fermato da una pattuglia dei Carabinieri nei pressi del Parco degli Acquedotti di Roma e trovato in possesso di una piccola quantità di hashish. I militari, dopo aver perquisito l’abitazione di Cucchi, arrestano il ragazzo e lo portano in caserma. Al momento del fermo – contrariamente a quanto si è sostenuto – Stefano gode di ottima salute e frequenta quotidianamente un corso di prepugilistica. Il giorno dopo il suo arresto, processato per direttissima nel tribunale di piazzale Clodio, ha il volto segnato ma sta ancora bene. Quello è l’ultimo momento in cui i genitori di Stefano Cucchi hanno la possibilità di vedere il figlio. Perché, una volta condotto nelle celle di sicurezza del tribunale e, da lì, nella sezione penale dell’ospedale Sandro Pertini, Stefano Cucchi emergerà dall’incubo in cui è precipitato soltanto grazie a una serie di immagini raccapriccianti: gli occhi incavati e la mascella rotta come uniche testimonianze di un trattamento crudele e disumano. «Decretato» morto la mattina del 22 ottobre, Stefano Cucchi da quel momento in poi diventa uno dei simboli dei diritti negati e dei tanti – troppi – omicidi commessi nelle carceri, sotto la tutela dello Stato. Un ruolo che la memoria di Stefano continua a sostenere anche dopo l’assoluzione del 31 ottobre del 2014 di tutti gli imputati al processo per la morte del ragazzo romano: ucciso per la seconda volta da una sentenza vergognosa.<br><br>Con un saggio sulle vittime della “legalità” di Cristiano Armati;Social Science / Criminology
194;Scipioni, F.;Don Sculacciabuchi. Capolavoro Della Goliardica Fine '800. in Appendice le Fonti Letterarie;9788883640162;;Fiction / General
195;Galdo, Mario Fizzarotti Daniela|Galdo, Daniela|Fizzarotti, Mario;Dizionario Pik Inglese-italiano, Italiano-inglese. Con Il Nuovo Frasi Utili Con Schemi E Disegni;9788881591015;;Foreign Language Study / Multi-Language Dictionaries
196;Hobsbawm, Eric J.;L'età Degli Imperi;9788804409762;"1875-1914, l'Età degli imperi, il periodo ""crepuscolare"" dell'Europa, culminato nella prima guerra mondiale, è una delle fasi cruciali della storia dell'umanità. Lo storico Hobsbawm, in questo saggio, si sofferma su quei fatali quarant'anni che rappresentano le radici della modernità.";History / Modern / 20th Century
197;Hobsbawm, Eric J.|Lotti, Brunello;Il Secolo Breve. 1914-1991: L'era Dei Grandi Cataclismi;9788817333931;"<em>Il secolo breve</em> è un saggio dello storico britannico Eric J. Hobsbawm, in cui vengono analizzate le svolte storiche di un secolo - il ventesimo - la cui estensione temporale può essere racchiusa in due date: 1914-1991.<br>Fu infatti nel giorno 28 giugno di questi due anni che accaddero eventi che racchiudono il lasso di tempo all'interno del quale - o, meglio, in conseguenza del quale - il mondo non sarebbe stato più lo stesso di prima. Il 28 giugno 1914 a Sarajevo veniva assassinato l'arciduca Francesco Ferdinando; nello stesso giorno di settantotto anni dopo - il 1992 - il presidente francese François Mitterrand parlava nella stessa città martoriata dalla guerra balcanica per invocare - rivolto ai grandi di tutto il mondo - una nuova e duratura pace.<br>(Fonte: Wikipedia)";History / Modern / 20th Century
198;Prévert, Jacques;Poesie;9788879831079;I versi d'un poeta tenero e ribelle, raffinato e antiborghese, interprete schietto della Parigi dei boulevards. A cura di Bruno Cagli. Testo francese a fronte.;Poetry / General
199;Palahniuk, Chuck|Colombo, Matteo;Rabbia. Una Biografia Orale Di Buster Casey;9788804572954;"""Rabbia"" prende la forma di una storia (romanzesca) orale su Buster ""Rant"" Casey, nella quale un assortimento di amici, nemici, ammiratori, detrattori e familiari dice la sua su questo personaggio malvagio (o forse no), morto in circostanze tanto misteriose quanto leggendarie, che forse è stato (ma forse non è stato), il più efficiente serial killer della nostra epoca. Buster è cresciuto in una cittadina nel mezzo del nulla, assetato di sensazioni forti in un mondo di videogames e di soffocante conformismo. Dopo le prime ribellioni al liceo scappa dal suo villaggio natale alla volta della grande città: cerca qualcosa, una comunità di persone, un'emozione inimmaginabile, un bandolo della matassa, un senso per la propria esistenza. E ben presto diventa il leader di un gruppo di giovani dediti a una sorta di rito-gioco di demolizione urbana chiamato ""party crashing"": nelle notti prescelte i partecipanti decorano in modi bizzarri le loro auto e quando arriva il momento cominciano ad attaccarsi a vicenda cercando di cozzare con le proprie vetture contro quelle degli altri. Ed è proprio in occasione di una di queste violente cacce notturne che Casey incontra la più spettacolare e tragica delle morti al volante. Ma Casey è morto davvero?";
200;Odifreddi, Piergiorgio;Perché Non Possiamo Essere Cristiani: E Meno Che Mai Cattolici;9788830424272;"La prima stazione della nostra via crucis è l'inizio di tutti gli inizi: più precisamente, la mitologia ebraica della creazione del mondo e dell'uomo, narrata in due versioni diverse e contraddittorie nei capitoli I-XI del Genesi. Comincia così questo viaggio che il matematico Piergiorgio Odifreddi compie dentro le Scritture e lungo la storia della Chiesa, fino ai giorni nostri. Come uomo di scienza, egli considera l'affermazione che quello della Bibbia è l'unico vero Dio una ""bestemmia"" nei confronti di colui che gli uomini di buona fede, da Pitagora e Platone a Spinoza e Einstein, hanno da sempre identificato con l'intelligenza dell'universo e l'armonia del mondo. Come cittadino, afferma che il cristianesimo ha costituito non la molla del pensiero democratico e scientifico europeo, bensì il freno che ne ha gravemente soffocato lo sviluppo civile e morale, e ritiene che l'anticlericalismo sia oggi più una difesa della laicità dello Stato che un attacco alla religione della Chiesa. Come autore, infine, legge l'Antico e il Nuovo Testamento e le successive elaborazioni dogmatiche della Chiesa per svelarne, con una critica tanto serrata quanto avvincente, non soltanto le incongruenze logiche ma anche le infondatezze storiche, dando alla ragione ciò che è della ragione e facendo emergere dai testi la verità: ovvero, dice Odifreddi, che ""Mosè, Gesù e il papa sono nudi"".";
201;Zabini, Alessandro;W. Reich E Il Segreto Dei Dischi Volanti;9788886755023;;Body, Mind & Spirit / Unexplained Phenomena
